button_text,buy_limit,final_price,thumbnail_url,name,price,product_id,promotion_percentage,quantity,remaining,url_key,cat_path,item_type,request_id,track_meta,promotion_sub_message,category_ids,category_id,shop_id,seller_admin_id,rating_percent,total_ratings,max_price,max_final_price,special_price,shop_warehouse_city,external_id,data_source,uid,original_img_url,min_price,price_range,original_price,shop_name,track_info,order_count,final_promotion_percent,promotion_percent_upto,is_in_promotion,deep_link,is_shipping_supported,event_banners,has_video,img_highlight_urls,slot_id,app_discount_percentage,icon_promote,brand_id,shop_badge_urls,is_shop_mall,sale_type,campaign_id,shop_badge_url
Mua ngay,3.0,1539000,https://media3.scdn.vn/img4/2022/01_16/6keMCcVFqyjsn1X8fASH_simg_de2fe0_100x100_maxb.jpg,Điện thoại Itel A26 (2GB/32GB) - Hàng chính hãng,1890000,71672897,19.0,15.0,15.0,https://www.sendo.vn/dien-thoai-itel-a26-2gb32gb-hang-chinh-hang-71672897.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1302,dien-thoai-itel-a26-2gb32gb-hang-chinh-hang-71672897.html,21,ec548d59-b24e-4d71-8005-756f3be379f1,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,1879000,https://media3.scdn.vn/img4/2021/10_30/FZOceI3Xt38cTf3GeMi2_simg_de2fe0_100x100_maxb.jpg,Điện thoại Nokia C20 2GB/16GB Xanh - Hàng chính hãng - Bảo hành 12 tháng,2290000,57964447,18.0,10.0,10.0,https://www.sendo.vn/dien-thoai-nokia-c20-2gb16gb-xanh-hang-chinh-hang-bao-hanh-12-thang-57964447.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1321,dien-thoai-nokia-c20-2gb16gb-xanh-hang-chinh-hang-bao-hanh-12-thang-57964447.html,21,ec548d59-b24e-4d71-8005-756f3be379f1,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,1798000,https://media3.scdn.vn/img4/2021/10_28/NKmwdYCfQ5r3ZsjxsqFt_simg_de2fe0_100x100_maxb.jpg,Điện thoại Nokia C20 2GB/16GB - Hàng chính hãng - Bảo hành 12 tháng,2290000,57964437,22.0,10.0,10.0,https://www.sendo.vn/dien-thoai-nokia-c20-2gb16gb-hang-chinh-hang-bao-hanh-12-thang-57964437.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1352,dien-thoai-nokia-c20-2gb16gb-hang-chinh-hang-bao-hanh-12-thang-57964437.html,21,ec548d59-b24e-4d71-8005-756f3be379f1,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,2819000,https://media3.scdn.vn/img4/2021/09_13/8SPwOwi0OhLKahbi0EDd_simg_de2fe0_100x100_maxb.jpg,Điện thoại Samsung Galaxy A03s (3GB/32GB) Nguyên seal - Hàng Chính Hãng,3490000,49175913,20.0,10.0,10.0,https://www.sendo.vn/dien-thoai-samsung-galaxy-a03s-3gb32gb-nguyen-seal-hang-chinh-hang-49175913.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1371,dien-thoai-samsung-galaxy-a03s-3gb32gb-nguyen-seal-hang-chinh-hang-49175913.html,21,ec548d59-b24e-4d71-8005-756f3be379f1,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,789000,https://media3.scdn.vn/img4/2022/01_23/0zpEaqVgdAl5WbOSVVCJ_simg_de2fe0_100x100_maxb.jpg,Điện thoại Nokia 110 4G - Hàng chính hãng,850000,71895074,8.0,15.0,15.0,https://www.sendo.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-71895074.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1002,dien-thoai-nokia-110-4g-hang-chinh-hang-71895074.html,21,7bc0c5c0-a01e-4e52-971f-9795e0dd449a,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,675000,https://media3.scdn.vn/img4/2022/01_23/tqgbiC42quZXI855lwOe_simg_de2fe0_100x100_maxb.jpg,Điện thoại Nokia 105 4G - Hàng chính hãng,750000,71895029,10.0,10.0,10.0,https://www.sendo.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-71895029.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1021,dien-thoai-nokia-105-4g-hang-chinh-hang-71895029.html,21,7bc0c5c0-a01e-4e52-971f-9795e0dd449a,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,2139000,https://media3.scdn.vn/img4/2022/01_19/26UXPpdr3W2VM0SYLpb2_simg_de2fe0_100x100_maxb.jpg,Điện Thoại Nokia C30 (2GB/32GB) - Pin khủng 6000mAh - Bh 12 tháng,2990000,71764372,29.0,10.0,10.0,https://www.sendo.vn/dien-thoai-nokia-c30-2gb32gb-pin-khung-6000mah-bh-12-thang-71764372.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1052,dien-thoai-nokia-c30-2gb32gb-pin-khung-6000mah-bh-12-thang-71764372.html,21,7bc0c5c0-a01e-4e52-971f-9795e0dd449a,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,2139000,https://media3.scdn.vn/img4/2022/01_19/spb4X3yuywUaRCT3Gav0_simg_de2fe0_100x100_maxb.jpg,Điện thoại NOKIA C30 ( 2GB/32GB) - Hàng chính hãng,2990000,71764355,29.0,10.0,10.0,https://www.sendo.vn/dien-thoai-nokia-c30-2gb32gb-hang-chinh-hang-71764355.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=1071,dien-thoai-nokia-c30-2gb32gb-hang-chinh-hang-71764355.html,21,7bc0c5c0-a01e-4e52-971f-9795e0dd449a,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,2799000,https://media3.scdn.vn/img4/2021/09_12/mMfyQiXyA5LkpO88RPGQ_simg_de2fe0_100x100_maxb.jpg,Điện thoại iphone 7 32gb hàng chính hãng,3680000,23024070,24.0,10.0,10.0,https://www.sendo.vn/dien-thoai-iphone-7-32gb-hang-chinh-hang-23024070.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=902,dien-thoai-iphone-7-32gb-hang-chinh-hang-23024070.html,21,a9e5ba7b-450c-404c-a107-97240f22456d,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mua ngay,3.0,2139000,https://media3.scdn.vn/img4/2022/02_19/uTXHVLjjaPqHQ4K9kqll_simg_de2fe0_100x100_maxb.jpg,Điện thoại Tecno POP 5 LTE 2GB/32GB -Hàng Chính Hãng,2390000,72410012,11.0,10.0,10.0,https://www.sendo.vn/dien-thoai-tecno-pop-5-lte-2gb32gb-hang-chinh-hang-72410012.html?algo=isnewlisting0&is_hyper_listing=0&is_new_listing=0&product_type=DailySale&source_block_id=feed&source_page_id=cate1&source_position=921,dien-thoai-tecno-pop-5-lte-2gb32gb-hang-chinh-hang-72410012.html,21,a9e5ba7b-450c-404c-a107-97240f22456d,"{'algo_type': '', 'original_type': 'DailySale', 'slot_id': '', 'promotion_campaign_id': 0, 'badge_list': '', 'promotion_type': 0}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
